time,cpu,freq_hz,package
192,52,2800000.0,1
192,53,2800000.0,1
192,54,2800002.0,1
192,55,2799997.0,1
192,56,2799970.0,1
192,57,2800002.0,1
192,58,2799999.0,1
192,59,2799999.0,1
192,60,2800003.0,1
192,61,2800002.0,1
192,62,2799999.0,1
192,63,2800002.0,1
195,0,2830860.0,0
195,1,2797083.0,0
195,2,2859457.0,0
195,3,2803554.0,0
195,4,2693821.0,0
195,5,2840920.0,0
195,6,2809995.0,0
195,7,2816227.0,0
195,8,2786671.0,0
195,9,2767475.0,0
195,10,2799905.0,0
195,11,2788238.0,0
195,12,2800585.0,0
195,13,2797680.0,0
195,14,2806217.0,0
195,15,2814977.0,0
195,16,2799981.0,1
195,17,2800000.0,1
195,18,2800001.0,1
195,19,2799952.0,1
195,20,2799997.0,1
195,21,2799999.0,1
195,22,2799999.0,1
195,23,2799985.0,1
195,24,2799999.0,1
195,25,2799998.0,1
195,26,2800000.0,1
195,27,2800001.0,1
195,28,2799997.0,1
195,29,2799999.0,1
195,30,2800000.0,1
195,31,2800001.0,1
195,32,2866609.0,0
195,33,2853556.0,0
195,34,2820195.0,0
195,35,2801233.0,0
195,36,2810228.0,0
195,37,2873990.0,0
195,38,2885954.0,0
195,39,2841343.0,0
195,40,2739325.0,0
195,41,2776798.0,0
195,42,2751716.0,0
195,43,2835486.0,0
195,44,2850907.0,0
195,45,2718010.0,0
195,46,2818266.0,0
195,47,2799724.0,0
195,48,2799999.0,1
195,49,2800671.0,1
195,50,2800003.0,1
195,51,2800001.0,1
195,52,2800000.0,1
195,53,2799999.0,1
195,54,2799988.0,1
195,55,2799998.0,1
195,56,2799922.0,1
195,57,2800000.0,1
195,58,2799999.0,1
195,59,2800000.0,1
195,60,2800002.0,1
195,61,2799999.0,1
195,62,2799998.0,1
195,63,2799999.0,1
198,0,3025078.0,0
198,1,3091154.0,0
198,2,3042250.0,0
198,3,2837561.0,0
198,4,3000932.0,0
198,5,2826431.0,0
198,6,3004629.0,0
198,7,2914399.0,0
198,8,2777962.0,0
198,9,2801633.0,0
198,10,2926679.0,0
198,11,2773108.0,0
198,12,2983569.0,0
198,13,2799960.0,0
198,14,2825407.0,0
198,15,2837988.0,0
198,16,2799995.0,1
198,17,2799999.0,1
198,18,2800001.0,1
198,19,2799994.0,1
198,20,2800000.0,1
198,21,2800000.0,1
198,22,2799999.0,1
198,23,2800017.0,1
198,24,2799999.0,1
198,25,2800001.0,1
198,26,2800000.0,1
198,27,2800000.0,1
198,28,2799998.0,1
198,29,2800001.0,1
