time,package,value
489,1.0,149.48399999999674
489,0.0,302.51199999999517
492,0.0,289.2410000000018
492,1.0,145.06400000001304
495,0.0,218.4340000000011
495,1.0,147.7199999999866
498,0.0,166.5460000000021
498,1.0,140.29400000000896
501,0.0,192.23599999999715
501,1.0,143.2219999999943
504,0.0,303.7320000000036
504,1.0,142.89400000000023
507,0.0,329.29299999999785
507,1.0,131.63400000000547
510,0.0,357.5550000000003
510,1.0,144.70500000000175
513,0.0,358.15200000000186
513,1.0,145.62699999999313
516,0.0,364.37899999999354
516,1.0,148.20500000000175
519,1.0,138.77300000000105
519,0.0,341.14800000000105
522,1.0,143.05299999999988
522,0.0,348.83899999999994
525,1.0,151.07799999999406
525,0.0,341.28199999999924
528,1.0,146.91900000000896
528,0.0,336.16100000000006
531,1.0,131.34999999999127
531,0.0,288.6600000000035
534,1.0,142.20900000000256
534,0.0,166.51900000000023
537,1.0,153.71300000000338
537,0.0,200.13500000000204
540,1.0,148.3399999999965
540,0.0,247.5020000000004
543,1.0,134.38300000000163
543,0.0,333.10599999999977
546,0.0,365.36499999999796
546,1.0,142.7039999999979
549,0.0,391.8199999999997
549,1.0,157.77599999999802
552,0.0,347.30399999999645
552,1.0,137.2780000000057
555,0.0,363.512999999999
555,1.0,145.21600000000035
558,0.0,362.8290000000052
558,1.0,140.83400000000256
561,0.0,367.0709999999963
561,1.0,142.65499999999884
564,0.0,370.88000000000466
564,1.0,144.0350000000035
567,1.0,137.88399999999092
567,0.0,357.07799999999406
570,1.0,146.98799999999756
570,0.0,334.68700000000536
573,1.0,156.26900000000023
573,0.0,186.82999999999447
576,1.0,146.03300000001036
576,0.0,192.6800000000003
579,1.0,134.73399999999674
579,0.0,177.7850000000035
582,0.0,191.29499999999825
582,1.0,140.8969999999972
585,0.0,210.83299999999872
585,1.0,158.6640000000043
588,0.0,185.12400000000343
588,1.0,138.66199999999662
591,1.0,136.8819999999978
591,0.0,185.0329999999958
594,1.0,139.28800000000047
594,0.0,181.02000000000407
597,1.0,153.00900000000547
597,0.0,174.7129999999961
600,0.0,197.9010000000053
600,1.0,154.01499999999942
603,1.0,129.596000000005
603,0.0,189.1949999999997
606,0.0,223.25499999999738
606,1.0,139.2369999999937
609,0.0,241.49399999999878
609,1.0,150.221000000005
612,0.0,229.72699999999895
612,1.0,144.54200000000128
615,0.0,220.96300000000338
615,1.0,141.46799999999348
618,0.0,214.86699999999837
618,1.0,133.05499999999302
621,1.0,151.45900000000256
621,0.0,206.00300000000425
624,1.0,147.35100000000966
624,0.0,174.95799999999872
627,0.0,179.04499999999825
627,1.0,131.3469999999943
630,0.0,226.93699999999808
630,1.0,139.096000000005
